Run,Model,Accuracy
1,SVM (RBF),0.9842931937172775
2,Random Forest,0.9947643979057592
3,Random Forest,0.9842931937172775
4,SVM (RBF),0.9895287958115183
5,SVM (RBF),0.981675392670157
6,SVM (RBF),0.9869109947643979
7,SVM (RBF),0.981675392670157
8,SVM (RBF),0.9869109947643979
9,SVM (RBF),0.9842931937172775
10,SVM (RBF),0.9869109947643979
11,SVM (RBF),0.9895287958115183
12,SVM (RBF),0.9842931937172775
13,SVM (RBF),0.9790575916230366
14,Random Forest,0.9973821989528796
15,SVM (RBF),0.9764397905759162
16,SVM (RBF),0.9764397905759162
17,Random Forest,0.981675392670157
18,Random Forest,0.9842931937172775
19,SVM (RBF),0.9842931937172775
20,SVM (RBF),0.9895287958115183
21,Random Forest,0.9869109947643979
22,SVM (RBF),0.9921465968586387
23,Random Forest,0.9947643979057592
24,SVM (RBF),0.9895287958115183
25,SVM (RBF),0.981675392670157
26,SVM (RBF),0.981675392670157
27,SVM (RBF),0.9947643979057592
28,Random Forest,0.9712041884816754
29,Random Forest,0.9790575916230366
30,SVM (RBF),0.9895287958115183
31,SVM (RBF),0.9895287958115183
32,SVM (RBF),0.981675392670157
33,Random Forest,0.9842931937172775
34,SVM (RBF),0.9921465968586387
35,SVM (RBF),0.981675392670157
36,Random Forest,0.9764397905759162
37,SVM (RBF),0.9764397905759162
38,SVM (RBF),0.9895287958115183
39,SVM (RBF),0.9921465968586387
40,SVM (RBF),0.9895287958115183
41,SVM (RBF),0.9895287958115183
42,SVM (RBF),0.9842931937172775
43,Random Forest,0.9869109947643979
44,SVM (RBF),0.9895287958115183
45,SVM (RBF),0.9921465968586387
46,SVM (RBF),0.9895287958115183
47,SVM (RBF),0.9895287958115183
48,SVM (RBF),0.9633507853403142
49,SVM (RBF),0.9921465968586387
50,SVM (RBF),0.9895287958115183
51,SVM (RBF),0.9895287958115183
52,Random Forest,0.981675392670157
53,SVM (RBF),0.9921465968586387
54,SVM (RBF),0.9947643979057592
55,SVM (RBF),0.9869109947643979
56,SVM (RBF),0.9973821989528796
57,SVM (RBF),0.9869109947643979
58,SVM (RBF),0.9895287958115183
59,Random Forest,0.9842931937172775
60,SVM (RBF),0.9921465968586387
61,SVM (RBF),0.9790575916230366
62,SVM (RBF),0.9921465968586387
63,SVM (RBF),0.9842931937172775
64,SVM (RBF),0.9869109947643979
65,Random Forest,0.9895287958115183
66,SVM (RBF),0.9869109947643979
67,Random Forest,0.9764397905759162
68,SVM (RBF),0.9895287958115183
69,SVM (RBF),0.9895287958115183
70,SVM (RBF),0.9869109947643979
71,SVM (RBF),0.9790575916230366
72,SVM (RBF),0.9947643979057592
73,SVM (RBF),0.9869109947643979
74,SVM (RBF),0.9895287958115183
75,SVM (RBF),0.9921465968586387
76,SVM (RBF),0.9869109947643979
77,SVM (RBF),0.9895287958115183
78,Random Forest,0.981675392670157
79,SVM (RBF),0.981675392670157
80,SVM (RBF),0.9921465968586387
81,SVM (RBF),0.9869109947643979
82,SVM (RBF),0.981675392670157
83,Random Forest,0.9869109947643979
84,SVM (RBF),0.9895287958115183
85,SVM (RBF),0.9921465968586387
86,SVM (RBF),0.9895287958115183
87,SVM (RBF),0.9921465968586387
88,SVM (RBF),0.9973821989528796
89,SVM (RBF),0.9947643979057592
90,Random Forest,0.9869109947643979
91,SVM (RBF),0.9895287958115183
92,Random Forest,0.981675392670157
93,SVM (RBF),0.9947643979057592
94,Random Forest,0.9738219895287958
95,SVM (RBF),0.9895287958115183
96,SVM (RBF),0.981675392670157
97,SVM (RBF),0.9842931937172775
98,SVM (RBF),0.9869109947643979
99,SVM (RBF),0.9842931937172775
100,SVM (RBF),0.9842931937172775
101,SVM (RBF),0.9764397905759162
102,Random Forest,0.9895287958115183
103,SVM (RBF),0.9869109947643979
104,SVM (RBF),0.981675392670157
105,SVM (RBF),0.9895287958115183
106,SVM (RBF),0.9895287958115183
107,Random Forest,0.9790575916230366
108,SVM (RBF),0.9921465968586387
